,Team,2018,Last 3,Last 1,Home,Away,2017
0,Tennessee Titans,3.9,4.0,9,2.8,5.0,8.1
1,Baltimore Ravens,4.1,7.0,11,4.6,3.5,4.6
2,Denver Broncos,4.1,8.7,9,5.4,2.9,6.0
3,Houston Texans,4.2,3.0,0,2.9,5.8,6.4
4,New Orleans Saints,4.9,3.0,6,4.3,5.8,7.8
5,Arizona Cardinals, 5.0,6.7,6,4.0,6.0,8.0
6,Cincinnati Bengals,5.2,4.0,6,5.9,4.6,6.8
7,Los Angeles Rams,5.4,6.7,10,7.3,3.6,6.3
8,Indianapolis Colts,5.4,4.7,7,5.0,5.7,8.1
9,Jacksonville Jaguars,5.6,4.3,3,6.6,4.8,5.7
10,Los Angeles Chargers,6.1,7.7,3,5.9,6.2,4.9
11,Minnesota Vikings,6.1,3.7,11,3.8,8.4,4.9
12,Detroit Lions,6.2,5.7,0,8.2,4.1,6.9
13,Cleveland Browns,6.2,8.0,3,4.5,8.0,4.4
14,Buffalo Bills,6.4,1.0,0,6.6,6.1,6.6
15,New England Patriots,6.4,12.7,0,6.9,6.0,5.6
16,Washington Redskins,6.5,8.7,7,5.6,7.4,7.8
17,Green Bay Packers,6.5,6.7,7,6.4,6.6,6.9
18,Carolina Panthers,6.6,6.7,14,7.0,6.2,6.6
19,Philadelphia Eagles,7.0,4.0,3,8.0,6.2,5.8
20,Chicago Bears,7.1,2.0,6,8.1,6.0,4.5
21,Tampa Bay Buccaneers,7.1,4.3,10,7.2,7.0,5.9
22,San Francisco 49ers,7.2,4.3,3,7.4,7.1,6.2
23,Pittsburgh Steelers,7.7,3.3,3,7.1,8.2,4.6
24,Seattle Seahawks,7.8,10.3,14,6.9,8.7,4.0
25,Dallas Cowboys,7.9,10.7,7,8.1,7.8,6.8
26,New York Jets,8.4,13.7,10,9.8,7.0,8.7
27,Atlanta Falcons,8.6,6.3,12,12.1,5.1,4.7
28,Kansas City Chiefs,8.7,6.7,14,6.1,11.9,7.0
29,Oakland Raiders,9.4,8.0,7,10.3,8.7,5.8
30,Miami Dolphins,9.9,13.7,14,7.5,12.2,5.0
31,New York Giants,10.6,8.3,15,10.8,10.4,8.8
